quadrant_row,quadrant_col,test_count,dominant_test_type,min_easting,max_easting,min_northing,max_northing
0,0,2,HandVane,442174.0,442424.0,189418.5,189668.5
0,9,1,HandVane,444424.0,444674.0,189418.5,189668.5
2,4,8,HandVane,443174.0,443424.0,189918.5,190168.5
2,9,3,HandVane,444424.0,444674.0,189918.5,190168.5
2,14,1,TriaxialTotal,445674.0,445924.0,189918.5,190168.5
3,10,5,HandVane,444674.0,444924.0,190168.5,190418.5
4,12,4,HandVane,445174.0,445424.0,190418.5,190668.5
5,14,5,TriaxialTotal,445674.0,445924.0,190668.5,190918.5
5,17,5,HandVane,446424.0,446674.0,190668.5,190918.5
6,5,7,HandVane,443424.0,443674.0,190918.5,191168.5
7,9,5,HandVane,444424.0,444674.0,191168.5,191418.5
8,9,3,TriaxialTotal,444424.0,444674.0,191418.5,191668.5
9,3,1,TriaxialTotal,442924.0,443174.0,191668.5,191918.5
9,5,1,TriaxialTotal,443424.0,443674.0,191668.5,191918.5
9,9,9,TriaxialTotal,444424.0,444674.0,191668.5,191918.5
9,11,12,TriaxialTotal,444924.0,445174.0,191668.5,191918.5
10,1,3,HandVane,442424.0,442674.0,191918.5,192168.5
10,4,9,HandVane,443174.0,443424.0,191918.5,192168.5
10,9,294,CPTDerived,444424.0,444674.0,191918.5,192168.5
10,10,14,TriaxialTotal,444674.0,444924.0,191918.5,192168.5
10,13,4,HandVane,445424.0,445674.0,191918.5,192168.5
11,7,6,HandVane,443924.0,444174.0,192168.5,192418.5
11,10,10,TriaxialTotal,444674.0,444924.0,192168.5,192418.5
11,16,2,TriaxialTotal,446174.0,446424.0,192168.5,192418.5
12,1,5,HandVane,442424.0,442674.0,192418.5,192668.5
12,6,6,HandVane,443674.0,443924.0,192418.5,192668.5
12,9,1,TriaxialTotal,444424.0,444674.0,192418.5,192668.5
12,10,6,TriaxialTotal,444674.0,444924.0,192418.5,192668.5
12,11,5,HandVane,444924.0,445174.0,192418.5,192668.5
12,13,2,TriaxialTotal,445424.0,445674.0,192418.5,192668.5
12,14,6,HandVane,445674.0,445924.0,192418.5,192668.5
13,4,1,HandVane,443174.0,443424.0,192668.5,192918.5
13,7,5689,CPTDerived,443924.0,444174.0,192668.5,192918.5
13,13,1,TriaxialTotal,445424.0,445674.0,192668.5,192918.5
14,3,10,HandVane,442924.0,443174.0,192918.5,193168.5
14,9,5,HandVane,444424.0,444674.0,192918.5,193168.5
14,11,10,HandVane,444924.0,445174.0,192918.5,193168.5
14,12,1,TriaxialTotal,445174.0,445424.0,192918.5,193168.5
14,14,6,HandVane,445674.0,445924.0,192918.5,193168.5
14,17,456,CPTDerived,446424.0,446674.0,192918.5,193168.5
15,2,5,HandVane,442674.0,442924.0,193168.5,193418.5
15,5,5,HandVane,443424.0,443674.0,193168.5,193418.5
15,9,5,HandVane,444424.0,444674.0,193168.5,193418.5
15,12,21,HandVane,445174.0,445424.0,193168.5,193418.5
15,13,6,TriaxialTotal,445424.0,445674.0,193168.5,193418.5
15,15,3,TriaxialTotal,445924.0,446174.0,193168.5,193418.5
15,17,2,HandVane,446424.0,446674.0,193168.5,193418.5
16,13,3,HandVane,445424.0,445674.0,193418.5,193668.5
16,15,2,TriaxialTotal,445924.0,446174.0,193418.5,193668.5
16,17,12,HandVane,446424.0,446674.0,193418.5,193668.5
16,19,2,TriaxialTotal,446924.0,447174.0,193418.5,193668.5
17,3,1,TriaxialTotal,442924.0,443174.0,193668.5,193918.5
17,4,2,HandVane,443174.0,443424.0,193668.5,193918.5
17,9,4,HandVane,444424.0,444674.0,193668.5,193918.5
17,12,6,HandVane,445174.0,445424.0,193668.5,193918.5
17,16,4,HandVane,446174.0,446424.0,193668.5,193918.5
17,17,3,HandVane,446424.0,446674.0,193668.5,193918.5
17,19,6,HandVane,446924.0,447174.0,193668.5,193918.5
18,4,6,HandVane,443174.0,443424.0,193918.5,194168.5
18,7,5,HandVane,443924.0,444174.0,193918.5,194168.5
18,12,4,HandVane,445174.0,445424.0,193918.5,194168.5
18,14,4,HandVane,445674.0,445924.0,193918.5,194168.5
18,15,772,CPTDerived,445924.0,446174.0,193918.5,194168.5
18,16,62,CPTDerived,446174.0,446424.0,193918.5,194168.5
18,19,5,HandVane,446924.0,447174.0,193918.5,194168.5
19,4,6,HandVane,443174.0,443424.0,194168.5,194418.5
19,9,12,HandVane,444424.0,444674.0,194168.5,194418.5
19,10,1,TriaxialTotal,444674.0,444924.0,194168.5,194418.5
19,13,1,TriaxialTotal,445424.0,445674.0,194168.5,194418.5
19,14,818,CPTDerived,445674.0,445924.0,194168.5,194418.5
19,15,621,CPTDerived,445924.0,446174.0,194168.5,194418.5
19,17,1076,CPTDerived,446424.0,446674.0,194168.5,194418.5
19,18,1,TriaxialTotal,446674.0,446924.0,194168.5,194418.5
19,19,1,TriaxialTotal,446924.0,447174.0,194168.5,194418.5
20,11,3,HandVane,444924.0,445174.0,194418.5,194668.5
20,12,1,TriaxialTotal,445174.0,445424.0,194418.5,194668.5
20,13,5,HandVane,445424.0,445674.0,194418.5,194668.5
20,14,6,HandVane,445674.0,445924.0,194418.5,194668.5
20,18,217,CPTDerived,446674.0,446924.0,194418.5,194668.5
20,19,1,TriaxialTotal,446924.0,447174.0,194418.5,194668.5
21,6,8,HandVane,443674.0,443924.0,194668.5,194918.5
21,8,5,HandVane,444174.0,444424.0,194668.5,194918.5
21,9,7,HandVane,444424.0,444674.0,194668.5,194918.5
21,11,7,HandVane,444924.0,445174.0,194668.5,194918.5
21,20,1,TriaxialTotal,447174.0,447424.0,194668.5,194918.5
21,30,1,TriaxialTotal,449674.0,449924.0,194668.5,194918.5
22,19,2,TriaxialTotal,446924.0,447174.0,194918.5,195168.5
22,20,1,TriaxialTotal,447174.0,447424.0,194918.5,195168.5
22,21,1,TriaxialTotal,447424.0,447674.0,194918.5,195168.5
22,25,2,TriaxialTotal,448424.0,448674.0,194918.5,195168.5
22,27,1,TriaxialTotal,448924.0,449174.0,194918.5,195168.5
22,28,3,TriaxialTotal,449174.0,449424.0,194918.5,195168.5
22,30,4,TriaxialTotal,449674.0,449924.0,194918.5,195168.5
23,11,1,TriaxialTotal,444924.0,445174.0,195168.5,195418.5
23,22,1,TriaxialTotal,447674.0,447924.0,195168.5,195418.5
23,23,3,TriaxialTotal,447924.0,448174.0,195168.5,195418.5
23,25,1,TriaxialTotal,448424.0,448674.0,195168.5,195418.5
23,28,1,TriaxialTotal,449174.0,449424.0,195168.5,195418.5
24,17,5,HandVane,446424.0,446674.0,195418.5,195668.5
26,21,2,TriaxialTotal,447424.0,447674.0,195918.5,196168.5
